"","X","status","id","id_argos","date","time","velE","velN","lat","long","temp","xm","ym","dist","dist_Paula","xMercator","yMercator","vel","dateF","timeF","timeMong","dayF","dayOfYear","year","nameModis","hoursD","hoursD_Paula","month","daysToFindFrom","daysToFind","dayD","distX","distY","start"
"14",366,"Recovered",602189,76796,"2008.03.31","0:01:07",0.94,-3.6,47.896222,115.09025,9,1352.986,2135.15,1.67170152838344,1971,12811788,6057889,3.720698859,(08.03.31 00:01:07),"0:01:07",8,"3/31/08",91,2008,"2008081_merc",244,5,"Mar",456,454,16,-1.19499999999994,-1.16899999999987,"noStart"
"15",395,"Recovered",602189,76796,"2008.04.16","0:01:06",-0.025,-0.04,48.073896,115.105099,17,1349.686,2154.654,19.781203603421,464,12813441,6087351,0.047169906,(08.04.16 00:01:06),"0:01:06",8,"4/16/08",107,2008,"2008097_merc",244,5,"Apr",472,470,15.9999884259269,-3.30000000000018,19.5039999999999,"noStart"
"16",424,"Recovered",602189,76796,"2008.05.02","0:01:07",0.14,-0.26,47.963467,115.235713,12,1360.993,2144.595,15.1337943028179,6998,12827981,6069028,0.295296461,(08.05.02 00:01:07),"0:01:07",8,"5/2/08",123,2008,"2008113_merc",244,5,"May",488,486,16.0000115740731,11.307,-10.0590000000002,"noStart"
"17",453,"Recovered",602189,76796,"2008.05.18","0:01:06",-0.06,-0.18,47.925931,114.461873,26,1310.618,2129.277,52.6524619462375,6547,12741837,6062809,0.18973666,(08.05.18 00:01:06),"0:01:06",8,"5/18/08",139,2008,"2008129_merc",244,5,"May",504,502,15.9999884259269,-50.375,-15.3179999999998,"noStart"
"18",482,"Recovered",602189,76796,"2008.06.03","0:01:36",-0.04,0.24,47.907017,113.422427,16,1242.003,2112.793,70.5672762759057,722,12626127,6059677,0.243310501,(08.06.03 00:01:36),"0:01:36",8,"6/3/08",155,2008,"2008145_merc",244,5,"Jun",520,518,16.0003472222215,-68.615,-16.4839999999999,"noStart"
"19",511,"Recovered",602189,76796,"2008.06.19","0:01:30",1.56,-0.58,47.808987,113.586127,28,1255.078,2104.336,15.5716561097401,873,12644350,6043462,1.664331698,(08.06.19 00:01:30),"0:01:30",8,"6/19/08",171,2008,"2008161_merc",244,5,"Jun",536,534,15.9999305555557,13.075,-8.45700000000033,"noStart"
"20",540,"Recovered",602189,76796,"2008.07.05","0:01:06",-0.06,-0.155,47.826766,113.592989,26,1255.138,2106.366,2.03088650593794,1707,12645114,6046400,0.166207701,(08.07.05 00:01:06),"0:01:06",8,"7/5/08",187,2008,"2008177_merc",244,5,"Jul",552,550,15.9997222222228,0.0599999999999454,2.0300000000002,"noStart"
"26",712,"Recovered",602190,76797,"2007.09.05","0:00:37",-3.82,1.16,47.102152,114.732976,27,1348.098,2043.679,NA,4318,12772016,5927447,3.992242478,(07.09.05 00:00:37),"0:00:37",8,"9/5/07",248,2007,"2007225_merc",19,5,"Sep",248,249,NA,NA,NA,"start"
"28",766,"Recovered",602190,76797,"2007.10.07","0:01:23",-0.06,0.1,47.508328,113.800234,4,1276.121,2074.542,27.7744093906604,5684,12668184,5993922,0.116619038,(07.10.07 00:01:23),"0:01:23",8,"10/7/07",280,2007,"2007257_merc",5,5,"Oct",280,281,16.0005439814831,-11.1089999999999,-25.4560000000001,"noStart"
"29",795,"Recovered",602190,76797,"2007.10.23","0:00:37",-0.67,0.11,47.1494,113.757504,5,1281.344,2034.872,40.0123559541298,5287,12663427,5935154,0.678969808,(07.10.23 00:00:37),"0:00:37",8,"10/23/07",296,2007,"2007273_merc",5,5,"Oct",296,297,15.9994675925918,5.22299999999996,-39.6699999999998,"noStart"
"30",824,"Recovered",602190,76797,"2007.11.08","0:00:37",-0.32,0.08,47.399787,113.771335,-2,1276.633,2062.324,27.8532910981808,1245,12664967,5976108,0.32984845,(07.11.08 00:00:37),"0:00:37",8,"11/8/07",312,2007,"2007289_merc",5,5,"Nov",312,313,16,-4.71100000000001,27.452,"noStart"
"32",882,"Recovered",602190,76797,"2007.12.10","0:00:37",0.16,0.12,47.21798,113.894995,-14,1289.049,2044.259,48.687189054206,2040,12678733,5946351,0.2,(07.12.10 00:00:37),"0:00:37",8,"12/10/07",344,2007,"2007321_merc",5,5,"Dec",344,345,16,-38.223,30.1569999999999,"noStart"
"34",931,"Recovered",602190,76797,"2008.01.09","3:00:36",-0.01,-0.005,47.11897,115.341335,-8,1388.579,2054.557,100.35716628622,1675,12839739,5930190,0.01118034,(08.01.09 03:00:36),"3:00:36",11,"1/9/08",9,2008,"2008001_merc",5,5,"Jan",374,374,14.125,100.076,7.50699999999983,"noStart"
"35",958,"Recovered",602190,76797,"2008.01.25","13:02:06",-0.02,-0.02,47.154387,115.359675,-11,1388.946,2058.675,4.13432134696896,24,12841780,5935967,0.028284271,(08.01.25 13:02:06),"13:02:06",21,"1/25/08",25,2008,"2008017_merc",20,5,"Jan",390,390,16.4177083333343,0.366999999999962,4.11800000000039,"noStart"
"36",985,"Recovered",602190,76797,"2008.02.10","3:00:36",0,-0.01,47.341699,115.12148,-3,1368.438,2075.426,26.479691557871,408,12815265,5966589,0.01,(08.02.10 03:00:36),"3:00:36",11,"2/10/08",41,2008,"2008033_merc",5,5,"Feb",406,406,15.5822916666657,-20.5079999999998,16.7509999999997,"noStart"
