"","X","rID","quality","date","day","month","year","season","xdd","ydd","xm","ym","uniqueID","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","distX","distY","dist2X","dist2Y"
"23",110,110,5,"15/3/07",15,"Mar",2007,"Verano",-69.0307,-36.0198,-788.729,-470.272,"Iris474",15/03/07,"noStart",FALSE,73,15,10.6714877125918,73,73,10.6609999999999,-0.473000000000013,10.6609999999999,-0.473000000000013
"25",115,115,5,"1/5/07",1,"May",2007,"Oto켹",-69.1733,-36.064,-800.862,-475.934,"Iris474",01/05/07,"noStart",FALSE,120,13,31.5865138468935,120,121,-31.2439999999999,-4.63900000000001,-31.2439999999999,-4.63900000000001
"26",120,120,5,"17/5/07",17,"May",2007,"Oto켹",-69.1886,-35.9296,-803.126,-461.134,"Iris474",17/05/07,"noStart",FALSE,136,16,14.9721640386419,136,137,-2.26400000000001,14.8,-2.26400000000001,14.8
"27",123,123,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.2148,-35.9632,-805.182,-465,"Iris474",05/06/07,"noStart",FALSE,155,19,4.37870894214266,155,153,-2.05600000000004,-3.86599999999999,-2.05600000000004,-3.86599999999999
"28",126,126,3,"19/6/07",19,"Jun",2007,"Oto켹",-69.099,-36.1454,-793.818,-484.55,"Iris474",19/06/07,"noStart",FALSE,169,14,22.6128944631155,169,169,11.364,-19.55,11.364,-19.55
"29",131,131,2,"4/7/07",4,"Jul",2007,"Invierno07",-69.0821,-36.1774,-792.125,-487.997,"Iris474",04/07/07,"noStart",FALSE,184,15,3.84032003874677,184,185,1.69299999999998,-3.447,1.69299999999998,-3.447
"30",132,132,3,"18/7/07",18,"Jul",2007,"Invierno07",-68.9497,-36.1795,-780.578,-487.521,"Iris474",18/07/07,"noStart",FALSE,198,14,11.5568068686814,198,201,11.547,0.475999999999999,11.547,0.475999999999999
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",175,175,5,"13/2/07",13,"Feb",2007,"Verano",-69.2827,-36.0363,-810.589,-473.475,"Name213",13/02/07,"noStart",FALSE,43,14,7.79926208047907,43,41,7.31699999999989,-2.70000000000005,7.31699999999989,-2.70000000000005
"40",177,177,5,"28/2/07",28,"Feb",2007,"Verano",-69.3862,-36.0049,-819.843,-470.57,"Name213",28/02/07,"noStart",FALSE,58,15,9.69925466208607,58,57,-9.25399999999991,2.90500000000003,-9.25399999999991,2.90500000000003
"41",180,180,5,"14/3/07",14,"Mar",2007,"Verano",-69.2522,-36.0292,-807.98,-472.518,"Name213",14/03/07,"noStart",FALSE,72,14,12.0218747706004,72,73,11.8629999999999,-1.94799999999998,11.8629999999999,-1.94799999999998
"42",182,182,3,"2/4/07",2,"Apr",2007,"Oto켹",-69.2147,-36.0164,-804.805,-470.893,"Name213",02/04/07,"noStart",FALSE,91,19,3.56668613701857,91,89,3.17500000000007,1.625,3.17500000000007,1.625
"43",186,186,4,"17/4/07",17,"Apr",2007,"Oto켹",-69.3097,-35.8649,-814.159,-454.645,"Name213",17/04/07,"noStart",FALSE,106,15,18.7481951131302,106,105,-9.35400000000004,16.248,-9.35400000000004,16.248
"44",189,189,4,"1/5/07",1,"May",2007,"Oto켹",-69.236,-36.0103,-806.699,-470.33,"Name213",01/05/07,"noStart",FALSE,120,14,17.3686736684181,120,121,7.46000000000004,-15.685,7.46000000000004,-15.685
"45",194,194,5,"17/5/07",17,"May",2007,"Oto켹",-69.243,-36.0323,-807.159,-472.809,"Name213",17/05/07,"noStart",FALSE,136,16,2.52131731442122,136,137,-0.460000000000036,-2.47900000000004,-0.460000000000036,-2.47900000000004
"46",198,198,5,"5/6/07",5,"Jun",2007,"Oto켹",-69.2221,-36.0456,-805.243,-474.17,"Name213",05/06/07,"noStart",FALSE,155,19,2.35018658833713,155,153,1.91599999999994,-1.36099999999999,1.91599999999994,-1.36099999999999
"47",202,202,5,"20/6/07",20,"Jun",2007,"Oto켹",-68.8964,-36.2416,-775.513,-494.117,"Name213",20/06/07,"noStart",FALSE,170,15,35.8016160110127,170,169,29.73,-19.947,29.73,-19.947
"48",205,205,2,"3/7/07",3,"Jul",2007,"Invierno07",-68.9869,-36.2098,-783.611,-491.078,"Name213",03/07/07,"noStart",FALSE,183,13,8.64945807550968,183,185,-8.09799999999996,3.03900000000004,-8.09799999999996,3.03900000000004
