"","dist","species"
"1",1234.80758492403,"Caribou"
"2",1893.23660012121,"Caribou"
"3",1204.15253657993,"Caribou"
"4",1645.749810701,"Caribou"
"5",1810.62958702448,"Caribou"
"6",1511.83572115977,"Gazelle"
"7",950.663958326382,"Gazelle"
"8",830.282340771724,"Gazelle"
"9",770.633033078566,"Gazelle"
"10",728.468460160008,"Gazelle"
"11",325.142668689991,"Guanaco"
"12",344.674692583183,"Guanaco"
"13",348.269797032169,"Guanaco"
"14",165.862640070224,"Guanaco"
"15",235.619447741333,"Guanaco"
"16",42.572097922095,"Moose"
"17",50.8160655941935,"Moose"
"18",106.873208937947,"Moose"
"19",46.0239083862199,"Moose"
"20",45.9281714503518,"Moose"
